site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
GUAT 00OCT28 2000.8241 51845 1085 6  -90.5  -2174 -0.778875   1613669  0.135991  1519  0.854916  0.0000 0.000996 0.000795 0.003515  0.029044 -0.033669 -0.002558  14.5904040145  -90.5201831466  1519.85492
GUAT 00OCT29 2000.8268 51846 1086 0  -90.5  -2174 -0.778913   1613669  0.134231  1519  0.853190  0.0000 0.001000 0.000824 0.003658  0.010656 -0.049987  0.056535  14.5904039986  -90.5201831471  1519.85319
GUAT 00OCT30 2000.8296 51847 1086 1  -90.5  -2174 -0.778166   1613669  0.135899  1519  0.858035  0.0000 0.000997 0.000807 0.003647  0.038008 -0.060045 -0.020467  14.5904040136  -90.5201831403  1519.85803
GUAT 00OCT31 2000.8323 51848 1086 2  -90.5  -2174 -0.780105   1613669  0.137805  1519  0.855281  0.0000 0.000997 0.000841 0.003627  0.036732 -0.066721  0.050240  14.5904040308  -90.5201831585  1519.85528
GUAT 00NOV01 2000.8350 51849 1086 3  -90.5  -2174 -0.778623   1613669  0.137067  1519  0.861491  0.0000 0.001024 0.000854 0.003779  0.007167 -0.058679  0.060258  14.5904040241  -90.5201831449  1519.86149
GUAT 00NOV02 2000.8378 51850 1086 4  -90.5  -2174 -0.778701   1613669  0.136409  1519  0.852942  0.0000 0.001003 0.000801 0.003638  0.011891 -0.071348 -0.034342  14.5904040181  -90.5201831458  1519.85294
GUAT 00NOV03 2000.8405 51851 1086 5  -90.5  -2174 -0.778480   1613669  0.137941  1519  0.856248  0.0000 0.000999 0.000790 0.003676  0.029476 -0.072434 -0.018462  14.5904040319  -90.5201831439  1519.85625
GUAT 00NOV04 2000.8433 51852 1086 6  -90.5  -2174 -0.779466   1613669  0.134612  1519  0.859497  0.0000 0.000987 0.000815 0.003635  0.045353 -0.005907  0.118754  14.5904040018  -90.5201831532  1519.85950
GUAT 00NOV05 2000.8460 51853 1087 0  -90.5  -2174 -0.777088   1613669  0.134881  1519  0.850084  0.0000 0.001034 0.000827 0.003857  0.034725 -0.114127  0.037472  14.5904040041  -90.5201831313  1519.85008
GUAT 00NOV06 2000.8487 51854 1087 1  -90.5  -2174 -0.778684   1613669  0.134313  1519  0.862774  0.0000 0.001033 0.000808 0.003720  0.004280  0.013066  0.018353  14.5904039990  -90.5201831463  1519.86277
GUAT 00NOV07 2000.8515 51855 1087 2  -90.5  -2174 -0.776474   1613669  0.138666  1519  0.857247  0.0000 0.001012 0.000807 0.003604  0.038704 -0.014296  0.040188  14.5904040383  -90.5201831259  1519.85725
GUAT 00NOV08 2000.8542 51856 1087 3  -90.5  -2174 -0.775790   1613669  0.140310  1519  0.863118  0.0000 0.001009 0.000829 0.003736  0.003503 -0.032335  0.090717  14.5904040531  -90.5201831197  1519.86312
GUAT 00NOV09 2000.8569 51857 1087 4  -90.5  -2174 -0.775758   1613669  0.134888  1519  0.866909  0.0000 0.001038 0.000810 0.003981 -0.008686 -0.101769  0.066664  14.5904040040  -90.5201831196  1519.86691
GUAT 00NOV10 2000.8597 51858 1087 5  -90.5  -2174 -0.775340   1613669  0.139214  1519  0.865714  0.0000 0.001063 0.000849 0.003922  0.049953 -0.014928  0.061651  14.5904040431  -90.5201831159  1519.86571
GUAT 00NOV11 2000.8624 51859 1087 6  -90.5  -2174 -0.775802   1613669  0.134654  1519  0.860410  0.0000 0.001001 0.000794 0.003750 -0.022274 -0.024813 -0.010752  14.5904040018  -90.5201831203  1519.86041
GUAT 00NOV12 2000.8652 51860 1088 0  -90.5  -2174 -0.777149   1613669  0.137447  1519  0.854708  0.0000 0.000968 0.000773 0.003554  0.022893 -0.039375  0.037786  14.5904040270  -90.5201831330  1519.85471
GUAT 00NOV13 2000.8679 51861 1088 1  -90.5  -2174 -0.776600   1613669  0.136606  1519  0.849175  0.0000 0.000978 0.000779 0.003566  0.005646 -0.039079  0.021028  14.5904040194  -90.5201831280  1519.84918
GUAT 00NOV14 2000.8706 51862 1088 2  -90.5  -2174 -0.777179   1613669  0.130338  1519  0.864635  0.0000 0.001037 0.000815 0.003744  0.019372 -0.116854  0.043042  14.5904039627  -90.5201831336  1519.86464
GUAT 00NOV15 2000.8734 51863 1088 3  -90.5  -2174 -0.779980   1613669  0.132101  1519  0.856059  0.0000 0.000980 0.000793 0.003589  0.007478 -0.047667 -0.015631  14.5904039786  -90.5201831597  1519.85606
GUAT 00NOV16 2000.8761 51864 1088 4  -90.5  -2174 -0.776109   1613669  0.136782  1519  0.860406  0.0000 0.000973 0.000776 0.003618  0.003289 -0.065279 -0.020367  14.5904040209  -90.5201831240  1519.86041
